OTU ID,X101.10T1,X101.11T1,X101.12T1,X101.13T1,X101.14T1,X101.15T1,X101.1T1,X101.2T1,X101.3T1,X101.4T1,X101.5T1,X101.6T1,X101.7T1,X101.8T1,X101.9T1,C.10T1,C.11T1,C.12T1,C.13T1,C.14T1,C.15T1,C.1T1,C.2T1,C.3T1,C.4T1,C.5T1,C.6T1,C.7T1,C.8T1,C.9T1
Zotu839,13,1,0,1,0,0,2,0,0,0,1,0,0,1,9,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0
Zotu188,24,5,13,4,0,2,2,1,3,9,2,2,2,0,3,1,0,0,2,24,4,1,17,0,3,8,4,14,3,3
Zotu242,13,7,7,6,19,10,37,4,5,9,5,7,7,2,19,23,7,5,2,2,6,2,9,3,13,1,4,9,10,3
Zotu179,25,8,0,19,14,8,12,11,32,58,0,7,7,36,29,6,0,9,41,53,65,3,74,3,24,134,66,41,14,56
Zotu557,10,5,5,3,5,4,3,3,1,13,2,9,6,6,9,14,4,14,8,8,11,8,17,17,24,22,9,21,8,30
Zotu488,3,8,4,14,21,4,13,7,29,5,38,4,13,10,6,2,4,3,17,0,10,2,9,1,8,11,4,1,2,5
Zotu845,5,1,1,1,0,1,0,0,3,2,1,6,2,0,3,0,1,13,5,1,5,1,0,2,2,1,5,0,1,1
Zotu158,5,6,2,7,2,22,11,4,7,23,5,9,9,17,21,22,20,23,12,24,22,21,27,16,50,25,26,39,30,7
Zotu207,15,15,6,4,17,13,23,11,1,13,1,18,11,12,17,4,6,29,29,10,29,11,19,7,19,57,64,10,15,31
Zotu214,22,15,44,37,17,26,40,9,2,13,14,27,7,60,28,6,4,1,0,0,6,0,5,6,16,10,11,1,3,16
Zotu561,2,5,0,2,1,1,0,1,0,4,1,7,0,1,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
Zotu331,12,3,0,0,1,12,21,1,0,1,1,0,3,6,3,2,0,6,0,4,7,0,0,1,0,2,5,0,2,1
Zotu676,7,7,0,2,0,0,1,0,1,0,0,14,3,8,10,5,4,6,14,3,10,2,4,5,6,46,14,3,5,12
Zotu171,9,9,8,18,11,11,10,4,8,26,5,9,12,12,10,8,7,9,4,10,28,3,28,11,9,41,20,2,17,21
Zotu229,7,29,14,30,36,3,10,3,24,14,27,11,15,5,3,3,2,5,4,7,14,10,11,4,9,45,19,11,30,12
Zotu960,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
